Week,Channel,Units_Sold,Revenue,Net_Sales,Spend,Clicks,Impressions,Sessions,Conversions,Profit,ROAS,CPC,Conversion_Rate,Profit_Margin
2025-03-30,Meta Ads,321,17248.67218569877,17213.67218569877,1734.2118888573125,441,8820,1105,20,15479.460296841458,9.93,3.93,1.81,89.93
2025-03-30,Organic Search,198,6832.415500560598,6807.415500560598,1547.1271590597116,214,4066,2191,96,5260.288341500886,4.4,7.23,4.38,77.27
2025-04-06,Email,136,10328.428091832231,10313.428091832231,2450.946056628044,306,7344,3812,218,7862.482035204187,4.21,8.01,5.72,76.24
2025-04-06,Google Ads,343,25039.914557796204,24994.914557796204,1096.1513010496456,176,3696,1219,34,23898.76325674656,22.8,6.23,2.79,95.61
2025-04-06,Meta Ads,359,21766.87658251164,21726.87658251164,2043.0241239969755,310,4960,3018,134,19683.852458514662,10.63,6.59,4.44,90.6
2025-04-06,Organic Search,76,8573.281183390212,8558.281183390212,633.3877628108977,366,6954,2353,132,7924.893420579315,13.51,1.73,5.61,92.6
2025-04-13,Email,71,6340.675121600717,6330.675121600717,1004.623854139374,329,3290,3026,80,5326.051267461343,6.3,3.05,2.64,84.13
2025-04-13,Google Ads,329,24971.51003809799,24951.51003809799,1091.3300785432384,110,1650,2669,64,23860.17995955475,22.86,9.92,2.4,95.63
2025-04-13,Meta Ads,425,35128.96476133511,35103.96476133511,1546.4261099417497,374,5610,2142,93,33557.53865139336,22.7,4.13,4.34,95.59
2025-04-13,Organic Search,245,16899.121518565476,16869.121518565476,1727.2758059787675,164,1968,2495,86,15141.84571258671,9.77,10.53,3.45,89.76
2025-04-20,Email,141,12505.471261086837,12480.471261086837,2315.470866355025,423,7614,1613,95,10165.000394731813,5.39,5.47,5.89,81.45
2025-04-20,Google Ads,273,16612.34587212314,16587.34587212314,2119.8488406057986,151,2265,3079,131,14467.497031517341,7.82,14.04,4.25,87.22
2025-04-20,Meta Ads,182,11831.640818646503,11826.640818646503,2287.270506692267,362,7240,3579,95,9539.370311954237,5.17,6.32,2.65,80.66
2025-04-20,Organic Search,229,15531.864909551061,15531.864909551061,1900.863598313008,457,10511,2831,163,13631.001311238053,8.17,4.16,5.76,87.76
2025-04-27,Email,248,10565.863259076572,10560.863259076572,2348.215431822559,368,6624,3453,119,8212.647827254013,4.5,6.38,3.45,77.76
2025-04-27,Google Ads,299,24324.42054522429,24299.42054522429,1174.6056729349727,150,2100,1703,63,23124.814872289317,20.69,7.83,3.7,95.17
2025-04-27,Meta Ads,169,10856.095005623756,10841.095005623756,1559.4279322167354,408,6936,2615,67,9281.667073407021,6.95,3.82,2.56,85.62
2025-04-27,Organic Search,180,12957.581702902862,12952.581702902862,2166.4087131933484,153,2754,947,17,10786.172989709514,5.98,14.16,1.8,83.27
2025-05-04,Email,198,9414.90545860002,9379.90545860002,1114.477923695441,447,6705,974,54,8265.427534904578,8.42,2.49,5.54,88.12
2025-05-04,Google Ads,265,22151.431281506295,22146.431281506295,2433.095033104165,359,7180,1166,23,19713.33624840213,9.1,6.78,1.97,89.01
2025-05-04,Meta Ads,187,15452.01813437489,15422.01813437489,2361.28495270392,106,2438,2838,44,13060.73318167097,6.53,22.28,1.55,84.69
2025-05-04,Organic Search,213,15185.53294638311,15180.53294638311,1600.943554205881,378,4158,1294,41,13579.58939217723,9.48,4.24,3.17,89.45
2025-05-11,Email,328,20795.190665670092,20765.190665670092,1178.6105346191348,263,6049,2132,94,19586.580131050956,17.62,4.48,4.41,94.32
2025-05-11,Google Ads,158,11563.768172045175,11538.768172045175,1669.0862265189164,466,8388,3982,109,9869.681945526258,6.91,3.58,2.74,85.53
2025-05-11,Meta Ads,142,9418.672807842762,9403.672807842762,1255.6784274543734,153,3366,1970,117,8147.994380388389,7.49,8.21,5.94,86.65
2025-05-11,Organic Search,323,21976.68756325315,21951.68756325315,823.8460132644275,385,8085,1837,94,21127.84154998872,26.65,2.14,5.12,96.25
2025-05-18,Email,164,12084.76260126194,12059.76260126194,730.2923567904022,316,3792,3734,151,11329.470244471539,16.51,2.31,4.04,93.94
2025-05-18,Google Ads,191,19064.01476708322,19034.01476708322,2495.498778020401,307,7061,2251,77,16538.51598906282,7.63,8.13,3.42,86.89
2025-05-18,Meta Ads,309,17623.20133263727,17603.20133263727,1209.4571134604253,192,4224,1504,45,16393.744219176842,14.55,6.3,2.99,93.13
2025-05-18,Organic Search,249,17660.08525318221,17610.08525318221,500.3730563413262,146,2044,2673,135,17109.712196840883,35.19,3.43,5.05,97.16
2025-05-25,Email,296,16908.807692644667,16878.807692644667,2381.007905758805,377,3770,3738,50,14497.799786885862,7.09,6.32,1.34,85.89
2025-05-25,Google Ads,260,17368.4818269256,17328.4818269256,1384.0668418622472,343,6517,2683,124,15944.414985063351,12.52,4.04,4.62,92.01
2025-05-25,Meta Ads,374,29194.862672987296,29144.862672987296,622.892580261575,186,3348,2112,109,28521.97009272572,46.79,3.35,5.16,97.86
2025-05-25,Organic Search,202,11722.300063022658,11687.300063022658,2409.1318577176216,268,5092,3997,51,9278.168205305035,4.85,8.99,1.28,79.39
2025-06-01,Email,116,6115.928787114441,6110.928787114441,753.6480451008376,287,3157,3439,150,5357.280742013603,8.11,2.63,4.36,87.67
2025-06-01,Google Ads,255,16626.447904444187,16601.447904444187,1454.8323789607075,490,10780,3257,177,15146.61552548348,11.41,2.97,5.43,91.24
2025-06-01,Meta Ads,253,17994.320056634224,17984.320056634224,722.4174946764374,407,4070,926,28,17261.902561957788,24.89,1.77,3.02,95.98
2025-06-01,Organic Search,99,8851.928808704582,8826.928808704582,576.1726011986385,231,4620,2166,83,8250.756207505943,15.32,2.49,3.83,93.47
2025-06-08,Email,156,8953.918916336452,8943.918916336452,697.188460483873,107,2354,3687,66,8246.73045585258,12.83,6.52,1.79,92.2
2025-06-08,Google Ads,259,15447.641853713336,15417.641853713336,1896.396861353,359,3590,3509,58,13521.244992360336,8.13,5.28,1.65,87.7
2025-06-08,Meta Ads,287,23207.777253059667,23182.777253059667,583.9281468872686,277,4986,1218,36,22598.849106172398,39.7,2.11,2.96,97.48
2025-06-08,Organic Search,288,21678.409751986015,21633.409751986015,1008.5224628897292,391,4301,3061,165,20624.887289096285,21.45,2.58,5.39,95.34
2025-06-15,Email,266,17265.00158208479,17235.00158208479,844.1720649052529,115,1380,1426,61,16390.82951717954,20.42,7.34,4.28,95.1
2025-06-15,Google Ads,196,13346.092200479616,13326.092200479616,1559.9406820428412,398,7960,2567,42,11766.151518436774,8.54,3.92,1.64,88.29
2025-06-15,Meta Ads,287,19343.830713355663,19323.830713355663,1685.5418817403695,476,5236,2912,80,17638.288831615293,11.46,3.54,2.75,91.28
2025-06-15,Organic Search,140,8124.892245974489,8119.892245974489,802.8910438707146,286,6864,3786,170,7317.001202103775,10.11,2.81,4.49,90.11
2025-06-22,Email,162,8317.504752192115,8307.504752192115,2156.877341877982,257,3855,2740,92,6150.627410314133,3.85,8.39,3.36,74.04
2025-06-22,Google Ads,454,25860.624782715327,25805.624782715327,1691.359648323059,116,1856,2175,60,24114.26513439227,15.26,14.58,2.76,93.45
2025-06-22,Meta Ads,343,16814.71356139926,16769.71356139926,2379.1371780503314,138,2484,1290,35,14390.576383348929,7.05,17.24,2.71,85.81
2025-06-22,Organic Search,156,12409.454981365048,12389.454981365048,1453.6777554662488,207,4347,1718,44,10935.777225898799,8.52,7.02,2.56,88.27
2025-06-29,Email,179,12792.290181635126,12757.290181635126,1146.1994033326746,445,7120,1481,49,11611.090778302452,11.13,2.58,3.31,91.02
2025-06-29,Google Ads,523,32797.41427249734,32747.41427249734,2157.3058122365783,117,2223,3787,77,30590.10846026076,15.18,18.44,2.03,93.41
2025-06-29,Meta Ads,199,16433.339745866317,16428.339745866317,1054.1384994267992,352,3520,2126,23,15374.201246439517,15.58,2.99,1.08,93.58
2025-06-29,Organic Search,52,3376.2767727552286,3366.2767727552286,1151.3696041279063,489,7335,2255,86,2214.9071686273223,2.92,2.35,3.81,65.8
